id,title,rating,card_subtitle
36707378,铁血战士：杀戮之地,7.4,2025 / 美国 澳大利亚 新西兰 加拿大 德国 / 动作 科幻 惊悚 冒险 / 丹·特拉亨伯格 / 艾丽·范宁 迪米特里乌斯·舒斯特-科洛阿玛坦吉
35443478,猎杀游戏,5.8,2025 / 美国 英国 / 动作 科幻 惊悚 冒险 / 埃德加·赖特 / 格伦·鲍威尔 乔什·布洛林
35614162,旁观者,6.3,2025 / 中国大陆 / 剧情 / 松太加 / 陈坤 王砚辉
37077505,爆弹,7.2,2025 / 日本 / 悬疑 犯罪 / 永井聪 / 山田裕贵 佐藤二朗
37479626,巴霍巴利王：史诗,7.1,2025 / 印度 / 剧情 动作 奇幻 / S·S·拉贾穆里 / 帕拉巴斯 特曼娜·芭蒂亚
36219411,像我这样的爱情,7.1,2025 / 中国香港 / 剧情 爱情 / 谭惠贞 / 廖子妤 陈家乐
37258105,安全屋,6.6,2025 / 美国 / 动作 悬疑 / Jamie Marshall / 卢锡安·拉维斯科特 汉娜·乔恩-卡门
35700339,飞行家,7.1,2025 / 中国大陆 / 剧情 喜剧 / 鹏飞 / 蒋奇明 李雪琴
36894424,放飞旅行团,5.7,2025 / 韩国 / 剧情 / 南大中 / 姜河那 金英光
37213104,东京出租车,8.0,2025 / 日本 / 剧情 / 山田洋次 / 倍赏千惠子 木村拓哉
37388734,午夜之花,6.1,2025 / 日本 / 犯罪 / 内田英治 / 北川景子 森田望智
37039108,地母,7.1,2025 / 马来西亚 意大利 中国香港 / 剧情 / 张吉安 / 范冰冰 许恩怡
36752985,下一个台风,6.9,2025 / 中国大陆 / 剧情 / 李玉 / 张子枫 张伟丽
36689647,遇见世界,7.6,2025 / 日本 / 剧情 / 松居大悟 / 杉咲花 南琴奈
37657537,宿主,5.4,2025 / 泰国 / 剧情 惊悚 恐怖 / 拜拉契·坤完 / 泰蒂娅·吉拉庞恩斯普 薇琳萨兰·唐绮苏瓦妮
36999797,为你遗憾,5.7,2025 / 德国 美国 / 剧情 / 约什·布恩 / 麦肯娜·格瑞丝 梅森·泰晤士
