id,title,rating,movie_year,movie_country,movie_type,movie_actor
36389635,海绵宝宝：深海大冒险,6.7,2025,美国,喜剧 动画 奇幻 冒险,德里克·德莱蒙汤姆·肯尼 比尔·法格巴克
37130746,十项舞蹈,6.8,2025,日本,爱情 同性,大友启史竹内凉真 町田启太
5348089,阿凡达：火与烬,7.6,2025,美国,动作 科幻 惊悚 奇幻 冒险,詹姆斯·卡梅隆萨姆·沃辛顿 佐伊·索尔达娜
37236843,再见琼,7.0,2025,英国 美国,未知,凯特·温斯莱特凯特·温斯莱特 托妮·科莱特
37342627,夺命网红2,5.5,2025,美国,悬疑 惊悚 恐怖,科提斯·大卫·哈德卡桑德拉·诺德 乔治娜·坎贝尔
36778124,爱犬莫福,5.8,2025,美国,喜剧,杰西卡·斯维尔查理·考克斯 佐伊·丹斯切尔
37901018,丹尼尔·斯洛斯：做不到,8.0,2025,英国,喜剧,丹尼尔·斯洛斯丹尼尔·斯洛斯
30174089,内幕,6.2,2025,中国香港,动作 犯罪,麦兆辉郭富城 任达华
36553324,趣塔德庄园,7.2,2025,英国,喜剧,吉姆·奥汉龙戴米恩·路易斯 凯瑟琳·沃特斯顿
37305658,征服者,6.6,2025,印度,动作 惊悚 犯罪,阿迪蒂亚·达尔阿克夏耶·坎纳 马达范
36948643,运钞大劫案,5.7,2025,中国大陆,动作 犯罪,霍穗强吴樾 包贝尔
37303803,欢乐岁月,7.2,2025,美国,歌舞,玛丽亚·弗里德曼丹尼尔·雷德克里夫 乔纳森·格罗夫
37657502,我的邻居不是人,5.7,2025,泰国,恐怖,罗宁·提姆提拉达·迈特瓦拉育 Sarunrat Puagpipat
36821463,乐开怀,5.9,2025,美国,喜剧,迈克尔·肖沃特米歇尔·菲佛 菲丽希缇·琼斯
37383596,我的秘密圣诞老人,5.6,2025,美国,喜剧,麦克·罗尔麦迪逊·麦克伊萨克 瑞安·艾戈尔德
35633741,混凝土市场,6.1,2025,韩国,动作 惊悚,洪基元李在仁 红炅
26817136,疯狂动物城2,8.3,2025,美国,喜剧 动画 悬疑 犯罪 冒险,杰拉德·布什 拜伦·霍华德金妮弗·古德温 杰森·贝特曼
37560609,我们不可能成为恋人！绝对不行。 (※似乎可行？) 〜再次闪耀！〜,8.1,2025,日本,喜剧 动画 同性,内沼菜摘中村栞奈 大西沙织
36523156,金童,6.1,2025,中国香港,未知,陈维冠张继聪 曾志伟
36175206,魔法坏女巫2,5.6,2025,美国 加拿大 澳大利亚,爱情 歌舞 奇幻,朱浩伟辛西娅·埃里沃 爱莉安娜·格兰德
37149566,家庭计划2,5.7,2025,美国 英国,喜剧 动作 家庭,西蒙·赛伦·琼斯马克·沃尔伯格 米歇尔·莫纳汉
36850049,永生战士2,6.6,2025,芬兰 英国,动作 战争,贾马里·赫兰德乔玛·汤米拉 史蒂芬·朗
37212415,香槟情缘,5.6,2025,美国,喜剧 爱情,马克·斯蒂文·约翰逊敏卡·凯利 汤姆·沃兹尼奇卡
37071133,菜肉馄饨,7.2,2025,中国大陆,喜剧 爱情,吴天戈周野芒 潘虹
30286126,三滴血,6.3,2025,中国大陆,犯罪,康博胡歌 文淇
26404869,惊天魔盗团3,5.7,2025,美国,动作 犯罪,鲁本·弗雷斯彻杰西·艾森伯格 伍迪·哈里森
35358792,马腾你别走,7.0,2025,中国大陆,喜剧,岳洋林更新 李幼斌
34930810,平场之月,7.4,2025,日本,爱情,土井裕泰堺雅人 井川遥
37561035,大使馆谋杀案,5.4,2025,英国,动作 悬疑 惊悚 冒险,Stephen Shimek米莎·巴顿 拉哈·蕾贝里
36381774,白日梦奇遇记,6.5,2025,美国,喜剧 动画 家庭 奇幻 冒险,埃里克·本森 亚历山大·伍朱莉·黄·拉帕波特 伊莱亚斯·詹森
37505432,咒术回战 涩谷事变×死灭回游 剧场版,6.5,2025,日本,动作 动画 奇幻,御所园翔太榎木淳弥 内田雄马
37229744,倒退,6.7,2025,西班牙 多米尼加,悬疑 惊悚,Jacob Santana海因米·洛伦特 曼努尔·维嘉
37352648,魔法坏女巫：奇幻之夜,8.4,2025,美国,音乐 歌舞,保罗·达格代尔 凯恩·萨菲亚里 克里斯多夫·斯科特辛西娅·埃里沃 爱莉安娜·格兰德
36680492,大濛,7.8,2025,中国台湾,未知,陈玉勋方郁婷 柯炜林
36707378,铁血战士：杀戮之地,7.4,2025,美国 澳大利亚 新西兰 加拿大 德国,动作 科幻 惊悚 冒险,丹·特拉亨伯格艾丽·范宁 迪米特里乌斯·舒斯特-科洛阿玛坦吉
35443478,猎杀游戏,5.8,2025,美国 英国,动作 科幻 惊悚 冒险,埃德加·赖特格伦·鲍威尔 乔什·布洛林
35614162,旁观者,6.3,2025,中国大陆,未知,松太加陈坤 王砚辉
